id,Carats,Cert,Clarity,Color,Cut,Depth,Known_Conflict_Diamond,Measurements,Polish,Regions,Shape,Symmetry,Table,Vendor,Offers
8082,0.4,AGSL,SI2,G, ,62.4,,4.73x4.7x2.95,Very good,Australia,Round,Very good,57.0,1,
8083,0.4,AGSL,SI2,G, ,,,4.72x4.7x2.93,Very good,Botswana,Round,Excellent,,1,
8084,0.4,AGSL,SI1,J, ,62.0,,4.75x4.72x2.94,Very good,Botswana,Marquise,Excellent,,1,
8085,0.4,,SI2,H, ,63.0,,4.68x4.66x2.94,Excellent,Other/Unknown,Emerald,Excellent,,1,
8086,0.4,AGSL,SI1,I, ,,,4.69x4.64x3,Excellent,Botswana,Princess,Very good,,1,
8087,0.41,GemEx,SI1,J, ,63.1,False,4.73x4.69x2.97,Excellent,Botswana,Round,Very good,58.0,1,
8088,0.4,AGSL,VVS1,J, ,,,4.62x4.59x2.97,Very good,Angola,Round,Good,,1,
8089,0.41,AGSL,SI2,J, ,62.7,,4.72x4.74x2.97, ,South Africa,Round, ,,1,
8090,0.4,AGSL,VS1,J, ,63.2,,4.67x4.65x2.95,Very good,Botswana,Round,Very good,57.0,2,
8091,0.41,AGSL,VVS2,J, ,62.3,,4.78x4.74x2.97,Excellent,South Africa,Princess,Very good,58.0,1,1192.5615349123966
8092,0.4,AGSL,SI2,E, ,63.3,,4.6x4.64x2.92, ,Russia,Round, ,57.0,1,
8093,0.4,,SI2,E, ,61.4,,4.74x4.75x2.92, ,Botswana,Emerald, ,59.0,1,
8094,0.4,AGSL,SI2,E, ,,,4.69x4.74x2.94, ,Russia,Radiant, ,57.0,1,
8095,0.4,,VS2,J, ,59.3,,4.77x4.8x2.84,Excellent,Russia,Princess,Excellent,,1,
8096,0.4,AGSL,SI2,E, ,,,4.83x4.86x2.81, ,Botswana,Round, ,,1,
8097,0.4,AGSL,SI2,E, ,62.0,,4.68x4.7x2.91, ,South Africa,ROUND, ,56.0,1,
8098,0.4,AGSL,SI2,E, ,,,4.7x4.74x2.93, ,Russia,Asscher, ,56.0,1,
8099,0.4,AGSL,SI2,E, ,63.6,,4.65x4.67x2.97, ,South Africa,Round, ,55.0,1,
8100,0.4,AGSL,SI2,E, ,63.2,False,4.62x4.65x2.93, ,Botswana,Round, ,,1,
8101,0.5,AGSL,VS1,M, ,64.1,,5.02x5x3.21,Very good,Australia,Round,Very good,,1,
8102,0.4,AGSL,VS2,I, ,62.5,False,4.66x4.65x2.91,Very good,DR Congo,Radiant,Very good,59.0,1,
8103,0.4,AGSL,SI2,F, ,61.7,,4.73x4.72x2.91,Very good,Canada,Round,Very good,,1,
8104,0.43,,SI2,H, ,62.4,,4.81x4.79x2.99,Excellent,Russia,Oval,Excellent,57.0,1,
8105,0.4,AGSL,SI1,G, ,63.8,,4.67x4.63x2.97,Very good,Australia,Asscher,Excellent,56.0,1,1059.7286830363537
8106,0.4,AGSL,SI1,F, ,64.6,,4.65x4.62x2.99,Very good,Russia,Oval,Excellent,56.0,1,1209.5602274343798
8107,0.41,AGSL,SI2,E, ,,,4.67x4.69x2.98, ,Russia,Emerald, ,59.0,1,
8108,0.4,AGSL,SI1,I, ,63.0,,4.67x4.66x2.94,Excellent,Botswana,ROUND,Very good,58.0,1,
8109,0.4,AGSL,SI1,I, ,,,4.72x4.68x2.96,Very good,Australia,Round,Very good,,1,
8110,0.51,AGSL,SI1,M, ,62.6,,5.09x5.04x3.17,Very good,Russia,Round,Very good,,2,
8111,0.41,AGSL,SI2,F, ,61.9,,4.69x4.75x2.92, ,Russia,Round, ,59.0,1,
8112,0.4,AGSL,SI2,F, ,61.9,False,4.73x4.74x2.93, ,Russia,Round, ,56.0,1,
8113,0.4,AGSL,SI1,F, ,,,4.62x4.61x3.01,Very good,Australia,Pear,Excellent,57.0,1,1209.5602274343798
8114,0.4,GemEx,SI2,H, ,,,4.77x4.74x2.89,Excellent,DR Congo,Round,Excellent,58.0,1,
8115,0.4,AGSL,SI1,I, ,,,4.73x4.71x2.94,Very good,Russia,Round,Very good,58.0,1,
8116,0.4,AGSL,SI1,H, ,63.2,,4.7x4.68x2.97,Very good,Canada,Emerald,Very good,55.0,1,
8117,0.4,AGSL,VS1,I, ,64.8,,4.63x4.6x2.99,Very good,Australia,Round,Very good,56.0,1,985.0394362101425
8118,0.42,AGSL,SI1,I, ,60.8,,4.87x4.84x2.95,Excellent,Canada,Oval,Excellent,58.0,1,
8119,0.41,AGSL,VS2,J, ,60.5,,4.84x4.81x2.92,Excellent,Other/Unknown,Round,Excellent,58.0,1,
8120,0.4,AGSL,SI1,I, ,62.1,,4.75x4.73x2.94,Very good,Angola,Round,Excellent,,1,
8121,0.4,AGSL,SI1,F, ,64.1,False,4.69x4.66x2.99,Very good,Other/Unknown,Round,Very good,,1,1169.4619767016356
8122,0.4,AGSL,SI1,I, ,63.0,,4.68x4.64x2.94,Very good,Canada,Princess,Very good,60.0,1,
8123,0.4,AGSL,SI1,F, ,59.2,,4.83x4.8x2.85,Very good,Australia,Oval ,Very good,63.0,1,1169.4619767016356
8124,0.41,AGSL,SI1,I, ,63.4,,4.7x4.69x2.98,Very good,Botswana,Round,Very good,57.0,1,
8125,0.43,AGSL,IF,K, ,60.8,,4.9x4.87x2.97,Excellent,Russia,Round,Excellent,59.0,1,1320.0311555173726
8126,0.4,AGSL,SI1,G, ,63.6,,4.65x4.64x2.95,Very good,DR Congo,Round,Excellent,59.0,1,1059.7286830363537
8127,0.41,AGSL,SI2,G, ,61.9,False,4.75x4.74x2.94,Very good,Russia,Round,Excellent,,1,
8128,0.4,AGSL,SI2,G, ,62.9,,4.64x4.69x2.94, ,Russia,Round, ,,1,
8129,0.41,AGSL,SI1,I, ,,,4.76x4.75x2.95,Excellent,Botswana,Round,Excellent,,1,
8130,0.4,AGSL,SI2,F, ,61.7,,4.74x4.71x2.92,Very good,Russia,Round,Excellent,60.0,1,1078.9171817421056
8131,0.41,AGSL,SI1,I, ,63.7,,4.71x4.68x2.99,Excellent,Russia,Princess,Excellent,57.0,1,
8132,0.4,AGSL,VS2,H, ,,,4.61x4.57x2.98,Excellent,Botswana,Round,Good,,1,
8133,0.4,AGSL,SI1,F, ,63.2,,4.7x4.67x2.96,Very good,Angola,Round,Very good,56.0,1,1169.4619767016356
8134,0.4,AGSL,VS1,I, ,61.9,,4.71x4.68x2.91,Very good,Canada,Round,Good,57.0,1,
8135,0.4,AGSL,VS2,I, ,63.4,,4.67x4.64x2.95,Very good,South Africa,Radiant,Very good,58.0,1,
8136,0.4,AGSL,VVS2,I, ,62.7,,4.69x4.67x2.93,Very good,Canada,Princess,Very good,60.0,1,1242.4957509843475
8137,0.4,AGSL,VS1,I, ,62.4,,4.73x4.69x2.94,Excellent,Russia,Cushion,Good,,1,
8138,0.4,AGSL,VS2,I, ,62.9,,4.73x4.7x2.97,Excellent,South Africa,Radiant,Very good,,1,
8139,0.41,AGSL,SI2,H, ,61.9,,4.77x4.79x2.95, ,Angola,Pear, ,58.0,1,
8140,0.41,AGSL,SI2,G, ,59.6,,4.83x4.88x2.89, ,Russia,Round, ,59.0,1,
8141,0.41,,VS1,J, ,62.5,,4.77x4.74x2.97,Excellent,Russia,Round,Excellent,,1,
8142,0.42,AGSL,SI2,G, ,62.6,,4.8x4.75x2.99,Very good,Angola,Round,Very good,,1,
8143,0.4,AGSL,SI1,E, ,64.1,,4.59x4.63x2.96, ,Russia,Oval, ,57.0,1,
8144,0.4,AGSL,VS2,I, ,,,4.64x4.61x2.92,Very good,Russia,Round,Very good,,1,
8145,0.41,AGSL,SI1,H, ,61.1,,4.82x4.8x2.94,Excellent,Angola,Round,Very good,58.0,1,
8146,0.44,AGSL,SI2,I, ,,,4.89x4.87x3.04,Excellent,Russia,Oval ,Excellent,57.0,1,
8147,0.4,AGSL,SI1,F, ,62.1,,4.73x4.72x2.93,Good,Canada,Round,Excellent,,1,1157.6632120094876
8148,0.4,AGSL,SI1,G, ,62.1,,4.7x4.68x2.92,Excellent,Russia,Round,Very good,59.0,1,1071.0186459194003
8149,0.4,AGSL,SI2,I, ,61.1,,4.74x4.76x2.91, ,Botswana,Princess, ,58.0,1,
8150,0.4,AGSL,SI2,F, ,,,4.74x4.71x2.95,Very good,Canada,Radiant,Very good,,1,
8151,0.4,AGSL,SI1,G, ,62.4,,4.72x4.69x2.94,Excellent,Russia,Round,Very good,58.0,1,1071.0186459194003
8152,0.4,AGSL,SI1,F, ,62.7,,4.67x4.62x2.91,Very good,Canada,Round,Very good,59.0,1,1169.4619767016356
8153,0.4,AGSL,VVS1,I, ,63.2,,4.66x4.64x2.94,Excellent,Canada,Emerald,Very good,,1,1160.8655959092066
8154,0.4,GemEx,SI2,E, ,61.7,False,4.7x4.68x2.9,Excellent,Botswana,Round,Very good,58.0,1,1227.101686885037
8155,0.4,AGSL,SI1,F, ,63.0,,4.7x4.67x2.95,Very good,Russia,Princess,Good,55.0,1,
8156,0.41,AGSL,SI2,F, ,62.1,,4.74x4.77x2.95, ,Canada,Round, ,,1,
8157,0.41,AGSL,SI2,F, ,62.7,,4.71x4.75x2.97, ,Botswana,Princess, ,,1,
8158,0.4,AGSL,VS2,I, ,62.6,,4.72x4.67x2.94,Excellent,Russia,Round,Very good,58.0,1,
8159,0.4,AGSL,SI1,F, ,58.9,,4.87x4.85x2.86,Excellent,Russia,Marquise,Excellent,,1,1262.5951261108933
8160,0.41,AGSL,SI2,H, ,61.8,,4.76x4.79x2.95, ,Russia,Round, ,58.0,1,
8161,0.4,AGSL,SI1,H, ,62.3,,4.72x4.7x2.93,Excellent,Australia,Round,Very good,,1,
8162,0.4,AGSL,SI1,H, ,59.1,,4.84x4.82x2.85,Excellent,Russia,Princess,Very good,60.0,1,
8163,0.4,AGSL,SI2,D, ,59.7,,4.82x4.79x2.87,Very good,DR Congo,Round,Very good,,1,1348.0687659390417
8164,0.42,AGSL,SI2,F, ,61.8,,4.83x4.8x2.98,Very good,Russia,Round,Very good,59.0,1,
8165,0.44,AGSL,VS2,J, ,61.5,,4.9x4.89x3.01,Excellent,Russia,Princess,Excellent,58.0,1,
8166,0.43,AGSL,SI1,I, ,62.4,,4.84x4.81x3.01,Excellent,Angola,Round,Excellent,56.0,1,
8167,0.4,AGSL,SI1,G, ,62.5,False,4.72x4.68x2.94,Excellent,Botswana,Round,Excellent,59.0,1,1109.4066364560956
8168,0.41,AGSL,SI1,F, ,63.4,,4.7x4.66x2.97,Excellent,Australia,Round,Very good,,1,1274.9960247473334
8169,0.41,AGSL,SI2,F, ,62.1,,4.77x4.74x2.95,Excellent,Angola,Pear,Excellent,57.0,2,1232.6024068416418
8170,0.4,AGSL,SI2,G, ,61.1,,4.75x4.76x2.91, ,Russia,Round, ,,1,
8171,0.41,AGSL,VVS2,I, ,62.5,,4.79x4.77x2.99,Very good,Angola,Round,Very good,56.0,1,1296.3211584088965
8172,0.4,AGSL,SI1,E, ,63.7,,4.71x4.67x2.99,Very good,Russia,Round,Very good,55.0,2,1385.3093772898446
8173,0.45,AGSL,VS1,J, ,61.6,,4.96x4.93x3.04,Excellent,Botswana,Round,Very good,57.0,1,
8174,0.4,,SI1,H, ,61.1,,4.78x4.75x2.91,Excellent,Australia,Round,Excellent,58.0,1,
8175,0.4,AGSL,SI2,E, ,,,4.83x4.8x2.83,Very good,Russia,Round,Very good,61.0,1,1189.6151312570457
8176,0.4,,SI1,F, ,62.4,,4.71x4.69x2.94,Very good,Other/Unknown,Emerald,Excellent,,1,
8177,0.41,AGSL,VS2,I, ,61.3,,4.8x4.78x2.94,Very good,Australia,Round,Excellent,58.0,1,
8178,0.42,AGSL,SI2,E, ,,,4.76x4.8x3.02, ,Botswana,Oval , ,56.0,1,
8179,0.4,AGSL,SI2,H, ,62.1,,4.7x4.75x2.94, ,Russia,Round, ,57.0,1,
8180,0.4,AGSL,VS1,I, ,62.7,,4.69x4.67x2.94,Excellent,Angola,Round,Very good,60.0,1,1032.9551808251433
8181,0.4,AGSL,SI1,I, ,62.2,,4.75x4.76x2.96, ,Russia,Round, ,56.0,1,
8182,0.5,AGSL,VS1,K, ,,,4.96x4.89x3.16,Very good,Botswana,Round,Good,,1,
8183,0.4,AGSL,SI2,E, ,59.6,,4.82x4.8x2.87,Excellent,Russia,Round,Very good,58.0,1,1242.215662013517
8184,0.4,AGSL,SI2,E, ,59.8,,4.82x4.8x2.87,Excellent,Russia,Round,Very good,,1,1242.215662013517
8185,0.41,AGSL,VS1,I, ,61.7,,4.8x4.76x2.95,Excellent,Russia,Round,Good,56.0,1,
8186,0.4,AGSL,SI2,E, ,62.2,False,4.76x4.73x2.95,Excellent,Canada,Round,Very good,56.0,1,1242.215662013517
8187,0.4,AGSL,SI2,D, ,64.0,,4.64x4.61x2.96,Very good,Russia,Asscher,Excellent,,1,1391.0953865453987
8188,0.43,AGSL,SI2,E, ,61.9,,4.83x4.84x2.99, ,Russia,Round, ,58.0,1,
8189,0.4,GemEx,SI2,E, ,,,4.72x4.76x2.93, ,Botswana,Round, ,,1,
8190,0.44,,SI2,F, ,62.2,,4.9x4.88x3.04,Very good,Australia,Round,Excellent,57.0,1,
8191,0.41,AGSL,SI1,G, ,62.1,,4.75x4.74x2.95,Very good,Russia,Marquise,Excellent,58.0,1,1109.4815716459675
8192,0.4,AGSL,SI1,H, ,60.1,,4.8x4.76x2.87,Excellent,Russia,Round,Excellent,60.0,1,
8193,0.4,,SI2,G, ,60.3,,4.77x4.79x2.88, ,Australia,Round, ,60.0,1,
8194,0.4,AGSL,VVS2,H, ,63.9,,4.63x4.62x2.96,Excellent,Angola,Radiant,Very good,58.0,1,1461.4253669497903
8195,0.4,AGSL,SI1,D, ,64.9,,4.6x4.56x2.98,Very good,DR Congo,Round,Good,59.0,1,1449.064393118792
8196,0.41,AGSL,VS2,H, ,,True,4.86x4.83x2.91,Excellent,Angola,Round,Excellent,59.0,1,
8197,0.43,AGSL,SI2,F, ,62.6,,4.82x4.85x3.03, ,Russia,Round, ,57.0,1,
8198,0.42,,SI1,G, ,60.3,,4.89x4.87x2.95,Excellent,Angola,Round,Excellent,58.0,1,
8199,0.41,AGSL,VVS1,I, ,61.9,,4.81x4.79x2.97,Excellent,Russia,Round,Very good,57.0,1,1212.9119057135656
8200,0.5,AGSL,SI2,K, ,62.9,,5.06x5.02x3.17,Very good,Botswana,Pear,Very good,,1,
8201,0.46,AGSL,SI1,J, ,62.7,,4.89x4.91x3.07, ,Russia,Round, ,58.0,1,
8202,0.4,AGSL,SI1,E, ,63.2,,4.71x4.68x2.96,Very good,Canada,Oval,Very good,,1,1326.6098274046815
8203,0.41,AGSL,SI2,D, ,63.4,,4.71x4.68x2.98,Excellent,Russia,ROUND,Very good,58.0,2,1525.8628015475142
8204,0.4,AGSL,VS2,H, ,,,4.75x4.73x2.94,Excellent,DR Congo,Oval ,Excellent,59.0,1,1089.9476918938221
8205,0.4,AGSL,SI1,D, ,60.8,,4.73x4.68x2.86,Very good,Botswana,Round,Good,62.0,1,1449.064393118792
8206,0.4,AGSL,SI1,D, ,63.0,False,4.72x4.68x2.96,Very good,Russia,Round,Very good,58.0,1,1493.6612261570708
8207,0.4,AGSL,VS1,G, ,64.1,,4.66x4.62x2.97,Excellent,Russia,Round,Very good,57.0,1,1338.8380887796375
8208,0.42,AGSL,SI2,D, ,60.9,,4.84x4.88x2.96, ,Russia,Radiant, ,56.0,1,
8209,0.4,GemEx,SI1,E, ,62.5,,4.72x4.7x2.95,Very good,Australia,Round,Good,,1,
8210,0.4,AGSL,SI1,E, ,61.2,,4.76x4.72x2.9,Excellent,DR Congo,Marquis,Very good,59.0,1,1382.1246897896917
8211,0.4,AGSL,VS2,G, ,63.7,,4.72x4.68x2.99,Very good,Australia,Princess,Very good,,1,1149.4809899179363
8212,0.42,AGSL,SI2,E, ,60.7,,4.89x4.86x2.96,Excellent,South Africa,Round,Very good,57.0,1,1350.9957509231106
8213,0.4,AGSL,VS2,G, ,62.4,,4.7x4.68x2.92,Excellent,Russia,Radiant,Excellent,,1,1241.8303975696708
8214,0.4,AGSL,VS2,F, ,63.8,,4.69x4.64x2.97,Excellent,Angola,Uncut,Very good,55.0,1,
8215,0.51,AGSL,SI1,L, ,61.9,,5.14x5.12x3.17,Excellent,Russia,Round,Excellent,57.0,1,
8216,0.46,AGSL,SI2,F, ,63.8,,4.8x4.84x3.07, ,Russia,Oval, ,,1,
8217,0.4,AGSL,SI2,E, ,62.1,,4.74x4.72x2.94,Excellent,Botswana,Round,Excellent,,1,1283.532022423826
8218,0.41,AGSL,SI2,D, ,60.8,True,4.8x4.79x2.92,Very good,DR Congo,ROUND,Excellent,59.0,1,
8219,0.4,,VVS2,F, ,64.9,,4.62x4.56x2.98,Excellent,Botswana,Oval,Very good,56.0,1,1517.371789622979
8220,0.43,AGSL,SI2,D, ,62.2,,4.83x4.81x3,Very good,Russia,Emerald,Excellent,56.0,1,1565.2794215931654
8221,0.44,AGSL,SI1,F, ,,False,4.87x4.85x3.03,Excellent,Russia,Radiant,Excellent,57.0,2,1552.2330732399178
8222,0.43,AGSL,SI2,E, ,,,4.81x4.83x3.01, ,Russia,Emerald, ,,1,
8223,0.4,,VS1,F, ,63.4,,4.69x4.66x2.97,Very good,Botswana,Round,Very good,,1,1178.9237613673943
8224,0.4,AGSL,SI1,H, ,,,4.71x4.73x2.95, ,Russia,Emerald, ,56.0,1,
8225,0.43,,SI2,G, ,61.9,,4.84x4.89x3.01,Excellent,Russia,Round,Very good,55.0,1,
8226,0.4,AGSL,VVS2,F, ,,,4.66x4.61x2.97,Very good,Russia,Round,Very good,59.0,1,1757.6911836421584
8227,0.4,GemEx,VS2,E, ,63.5,False,4.64x4.58x2.93,Very good,Australia,Pear,Good,,1,1410.6115617306407
8228,0.4,AGSL,VS2,G, ,,,4.78x4.73x2.93,Very good,Australia,Round,Very good,56.0,1,1149.4809899179363
8229,0.42,AGSL,SI2,E, ,61.7,,4.86x4.83x2.99,Excellent,Russia,Round,Excellent,57.0,1,1394.0686901406157
8230,0.4,AGSL,SI1,F, ,,,4.67x4.7x2.88,Very good,Australia,Round,Very good,,1,1169.4619767016356
8231,0.41,AGSL,VS2,G, ,61.5,False,4.78x4.76x2.94,Excellent,Russia,Round,Very good,60.0,1,1254.129150631034
8232,0.4,AGSL,VS2,G, ,61.8,,4.73x4.71x2.92,Very good,DR Congo,Round,Very good,60.0,1,1149.4809899179363
8233,0.4,AGSL,SI1,D, ,61.0,,4.8x4.78x2.93,Excellent,Russia,Emerald,Very good,,1,1552.5330337988526
8234,0.4,AGSL,VVS2,H, ,62.4,,4.75x4.72x2.96,Excellent,Angola,Round,Excellent,57.0,1,1506.2105702022966
8235,0.44,AGSL,SI2,E, ,62.2,,4.88x4.86x3.03,Very good,Russia,Round,Excellent,58.0,2,1515.3441409401123
8236,0.51,AGSL,SI1,K, ,63.4,,5.07x5.03x3.21,Very good,Australia,ROUND,Very good,58.0,1,
8237,0.6,AGSL,SI2,L, ,61.9,False,5.36x5.33x3.31,Excellent,Angola,Round,Very good,,1,
8238,0.41,AGSL,SI1,E, ,60.0,,4.84x4.8x2.89,Very good,Botswana,Emerald,Excellent,58.0,1,1425.7721115273634
8239,0.4,AGSL,VS2,G, ,60.0,,4.81x4.78x2.88,Very good,DR Congo,Round,Very good,59.0,1,1149.4809899179363
8240,0.4,GemEx,VS2,G, ,,,4.78x4.75x2.81,Excellent,Russia,Princess,Very good,63.0,1,1186.3347234372804
8241,0.46,AGSL,SI2,I, ,62.0,,4.97x5x3.09, ,Botswana,Round, ,58.0,1,
8242,0.43,GemEx,SI2,E, ,61.1,,4.9x4.88x2.99,Excellent,Canada,Round,Excellent,57.0,1,1434.7101276622236
8243,0.5,AGSL,SI2,J, ,63.9,,5.05x5.01x3.21,Very good,DR Congo,Radiant,Excellent,,1,
8244,0.42,AGSL,SI1,E, ,61.1,,4.8x4.81x2.94, ,DR Congo,Round, ,,1,
8245,0.52,AGSL,VS1,L, ,62.0,,5.18x5.16x3.21,Very good,Russia,Radiant,Very good,58.0,2,
8246,0.4,AGSL,SI1,E, ,61.5,,4.75x4.73x2.92,Excellent,Canada,Round,Excellent,,1,1425.6871638150344
8247,0.4,AGSL,SI1,D, ,60.7,,4.79x4.72x2.88,Excellent,Russia,Round,Very good,62.0,1,1552.5330337988526
8248,0.4,AGSL,VS2,F, ,,False,4.81x4.79x2.87,Excellent,Russia,Radiant,Very good,,1,1360.3953053988103
8249,0.41,AGSL,VS2,G, ,58.5,,4.93x4.92x2.88,Very good,Australia,Pear,Excellent,60.0,1,1241.9096789446373
8250,0.44,AGSL,SI1,F, ,61.7,,4.9x4.86x3.01,Excellent,Angola,Round,Excellent,58.0,1,1486.4604853907686
8251,0.41,AGSL,SI1,E, ,62.7,,4.79x4.77x3,Excellent,Canada,Round,Excellent,53.0,1,1483.303535654092
8252,0.6,AGSL,VS1,M, ,62.4,,5.37x5.32x3.34,Excellent,Russia,Oval ,Very good,,1,
8253,0.51,AGSL,SI1,K, ,,,5.14x5.13x3.18,Excellent,Russia,Asscher,Excellent,,1,
8254,0.43,AGSL,VS1,H, ,61.9,,4.85x4.84x3,Excellent,Russia,Princess,Excellent,58.0,1,1384.7652945349516
8255,0.4,AGSL,VS2,F, ,60.9,False,4.82x4.79x2.93,Excellent,Russia,Round,Excellent,,1,1403.6166512948623
8256,0.46,AGSL,SI2,E, ,60.0,,4.98x5x3, ,Russia,Round, ,61.0,1,
8257,0.51,AGSL,VS2,K, ,62.0,,5.13x5.09x3.17,Very good,Russia,Oval,Very good,,1,
8258,0.54,GemEx,VS2,L, ,60.4,,5.3x5.27x3.19,Excellent,Australia,Oval,Excellent,59.0,1,
8259,0.41,,VS2,F, ,62.3,,4.78x4.77x2.97,Excellent,Australia,Round,Excellent,,1,1189.879225743248
8260,0.46,AGSL,SI2,D, ,63.9,,4.86x4.89x3.12, ,Russia,Round, ,,1,
8261,0.4,AGSL,VS2,E, ,62.0,,4.76x4.73x2.94,Excellent,Russia,Round,Very good,58.0,1,1529.4978654290217
8262,0.61,AGSL,VS1,M, ,61.5,,5.48x5.45x3.36,Excellent,Russia,Round,Very good,,1,
8263,0.46,AGSL,SI2,F, ,62.6,False,4.94x4.95x3.1, ,DR Congo,Round, ,54.0,1,
8264,0.44,AGSL,VS1,H, ,,,4.89x4.87x3.06,Excellent,DR Congo,Round,Excellent,,1,1441.5570064450988
8265,0.46,AGSL,SI2,H, ,63.2,,4.86x4.89x3.08, ,Canada,Emerald, ,,1,
8266,0.45,AGSL,SI1,I, ,62.7,False,4.88x4.9x3.06, ,Russia,Round, ,55.0,1,
8267,0.42,AGSL,SI1,D, ,62.2,,4.81x4.78x2.98,Excellent,Australia,Pear,Very good,56.0,1,1673.8743813717133
8268,0.6,AGSL,SI2,L, ,59.9,,5.51x5.49x3.3,Excellent,Botswana,Round,Excellent,,2,
8269,0.41,AGSL,VS2,E, ,62.7,,4.77x4.73x2.98,Excellent,Australia,Round,Very good,57.0,1,1589.1546256781153
8270,0.46,AGSL,SI2,G, ,60.7,False,4.97x5.01x3.03, ,Canada,Pear, ,61.0,1,
8271,0.54,AGSL,I1,E, ,61.7,,5.25x5.23x3.23,Very good,Canada,Round,Very good,60.0,1,
8272,0.45,,SI2,D, ,60.6,,4.98x4.96x3.01,Excellent,Canada,Round,Very good,59.0,1,
8273,0.53,AGSL,SI1,K, ,62.4,,5.2x5.18x3.24,Excellent,Russia,Princess,Excellent,,1,
8274,0.41,AGSL,SI1,D, ,61.2,,4.81x4.77x2.93,Excellent,Russia,Round,Excellent,59.0,1,1659.6610729255767
8275,0.4,AGSL,VVS1,F, ,,True,4.73x4.7x2.94,Very good,Zimbabwe,Emerald,Very good,,1,
8276,0.46,AGSL,SI2,H, ,62.4,,4.89x4.93x3.07, ,Russia,Round, ,,1,
